tron	0.229257,0.229257,0.229257,0.0,1327490578.0,1
uniswap	7.43,7.43,7.43,0.0,382807757.0,1
usd-coin	0.999814,0.999814,0.999814,0.0,10163338316.0,1
usds	0.999922,0.999922,0.999922,0.0,34725815.0,1
usual-usd	0.997528,0.997528,0.997528,0.0,24114752.0,1
vechain	0.02797321,0.02797321,0.02797321,0.0,75021524.0,1
weth	2191.08,2191.08,2191.08,0.0,1843999125.0,1
whitebit	26.22,26.22,26.22,0.0,105167729.0,1
worldcoin-wld	1.09,1.09,1.09,0.0,342654182.0,1
wrapped-bitcoin	82946.0,82946.0,82946.0,0.0,760929670.0,1
wrapped-eeth	2319.52,2319.52,2319.52,0.0,42899471.0,1
wrapped-steth	2601.99,2601.99,2601.99,0.0,121228163.0,1
xdce-crowd-sale	0.078753,0.078753,0.078753,0.0,42748090.0,1
